2008/1/4から2008/12/30までの日経平均終値のデータ
日付	終値
2008/1/4	14691.41
2008/1/7	14500.55
2008/1/8	14528.67
2008/1/9	14599.16
2008/1/10	14388.11
2008/1/11	14110.79
2008/1/15	13972.63
2008/1/16	13504.51
2008/1/17	13783.45
2008/1/18	13861.29
2008/1/21	13325.94
2008/1/22	12573.05
2008/1/23	12829.06
2008/1/24	13092.78
2008/1/25	13629.16
2008/1/28	13087.91
2008/1/29	13478.86
2008/1/30	13345.03
2008/1/31	13592.47
2008/2/1	13497.16
2008/2/4	13859.7
2008/2/5	13745.5
2008/2/6	13099.24
2008/2/7	13207.15
2008/2/8	13017.24
2008/2/12	13021.96
2008/2/13	13068.3
2008/2/14	13626.45
2008/2/15	13622.56
2008/2/18	13635.4
2008/2/19	13757.91
2008/2/20	13310.37
2008/2/21	13688.28
2008/2/22	13500.46
2008/2/25	13914.57
2008/2/26	13824.72
2008/2/27	14031.3
2008/2/28	13925.51
2008/2/29	13603.02
2008/3/3	12992.18
2008/3/4	12992.28
2008/3/5	12972.06
2008/3/6	13215.42
2008/3/7	12782.8
2008/3/10	12532.13
2008/3/11	12658.28
2008/3/12	12861.13
2008/3/13	12433.44
2008/3/14	12241.6
2008/3/17	11787.51
2008/3/18	11964.16
2008/3/19	12260.44
2008/3/21	12482.57
2008/3/24	12480.09
2008/3/25	12745.22
2008/3/26	12706.63
2008/3/27	12604.58
2008/3/28	12820.47
2008/3/31	12525.54
2008/4/1	12656.42
2008/4/2	13189.36
2008/4/3	13389.9
2008/4/4	13293.22
2008/4/7	13450.23
2008/4/8	13250.43
2008/4/9	13111.89
2008/4/10	12945.3
2008/4/11	13323.73
2008/4/14	12917.51
2008/4/15	12990.58
2008/4/16	13146.13
2008/4/17	13398.3
2008/4/18	13476.45
2008/4/21	13696.55
2008/4/22	13547.82
2008/4/23	13579.16
2008/4/24	13540.87
2008/4/25	13863.47
2008/4/28	13894.37
2008/4/30	13849.99
2008/5/1	13766.86
2008/5/2	14049.26
2008/5/7	14102.48
2008/5/8	13943.26
2008/5/9	13655.34
2008/5/12	13743.36
2008/5/13	13953.73
2008/5/14	14118.55
2008/5/15	14251.74
2008/5/16	14219.48
2008/5/19	14269.61
2008/5/20	14160.09
2008/5/21	13926.3
2008/5/22	13978.46
2008/5/23	14012.2
2008/5/26	13690.19
2008/5/27	13893.31
2008/5/28	13709.44
2008/5/29	14124.47
2008/5/30	14338.54
2008/6/2	14440.14
2008/6/3	14209.17
2008/6/4	14435.57
2008/6/5	14341.12
2008/6/6	14489.44
2008/6/9	14181.38
2008/6/10	14021.17
2008/6/11	14183.48
2008/6/12	13888.6
2008/6/13	13973.73
2008/6/16	14354.37
2008/6/17	14348.37
2008/6/18	14452.82
2008/6/19	14130.17
2008/6/20	13942.08
2008/6/23	13857.47
2008/6/24	13849.56
2008/6/25	13829.92
2008/6/26	13822.32
2008/6/27	13544.36
2008/6/30	13481.38
2008/7/1	13463.2
2008/7/2	13286.37
2008/7/3	13265.4
2008/7/4	13237.89
2008/7/7	13360.04
2008/7/8	13033.1
2008/7/9	13052.13
2008/7/10	13067.21
2008/7/11	13039.69
2008/7/14	13010.16
2008/7/15	12754.56
2008/7/16	12760.8
2008/7/17	12887.95
2008/7/18	12803.7
2008/7/22	13184.96
2008/7/23	13312.93
2008/7/24	13603.31
2008/7/25	13334.76
2008/7/28	13353.78
2008/7/29	13159.45
2008/7/30	13367.79
2008/7/31	13376.81
2008/8/1	13094.59
2008/8/4	12933.18
2008/8/5	12914.66
2008/8/6	13254.89
2008/8/7	13124.99
2008/8/8	13168.41
2008/8/11	13430.91
2008/8/12	13303.6
2008/8/13	13023.05
2008/8/14	12956.8
2008/8/15	13019.41
2008/8/18	13165.45
2008/8/19	12865.05
2008/8/20	12851.69
2008/8/21	12752.21
2008/8/22	12666.04
2008/8/25	12878.66
2008/8/26	12778.71
2008/8/27	12752.96
2008/8/28	12768.25
2008/8/29	13072.87
2008/9/1	12834.18
2008/9/2	12609.47
2008/9/3	12689.59
2008/9/4	12557.66
2008/9/5	12212.23
2008/9/8	12624.46
2008/9/9	12400.65
2008/9/10	12346.63
2008/9/11	12102.5
2008/9/12	12214.76
2008/9/16	11609.72
2008/9/17	11749.79
2008/9/18	11489.3
2008/9/19	11920.86
2008/9/22	12090.59
2008/9/24	12115.03
2008/9/25	12006.53
2008/9/26	11893.16
2008/9/29	11743.61
2008/9/30	11259.86
2008/10/1	11368.26
2008/10/2	11154.76
2008/10/3	10938.14
2008/10/6	10473.09
2008/10/7	10155.9
2008/10/8	9203.32
2008/10/9	9157.49
2008/10/10	8276.43
2008/10/14	9447.57
2008/10/15	9547.47
2008/10/16	8458.45
2008/10/17	8693.82
2008/10/20	9005.59
2008/10/21	9306.25
2008/10/22	8674.69
2008/10/23	8460.98
2008/10/24	7649.08
2008/10/27	7162.9
2008/10/28	7621.92
2008/10/29	8211.9
2008/10/30	9029.76
2008/10/31	8576.98
2008/11/4	9114.6
2008/11/5	9521.24
2008/11/6	8899.14
2008/11/7	8583
2008/11/10	9081.43
2008/11/11	8809.3
2008/11/12	8695.51
2008/11/13	8238.64
2008/11/14	8462.39
2008/11/17	8522.58
2008/11/18	8328.41
2008/11/19	8273.22
2008/11/20	7703.04
2008/11/21	7910.79
2008/11/25	8323.93
2008/11/26	8213.22
2008/11/27	8373.39
2008/11/28	8512.27
2008/12/1	8397.22
2008/12/2	7863.69
2008/12/3	8004.1
2008/12/4	7924.24
2008/12/5	7917.51
2008/12/8	8329.05
2008/12/9	8395.87
2008/12/10	8660.24
2008/12/11	8720.55
2008/12/12	8235.87
2008/12/15	8664.66
2008/12/16	8568.02
2008/12/17	8612.52
2008/12/18	8667.23
2008/12/19	8588.52
2008/12/22	8723.78
2008/12/24	8517.1
2008/12/25	8599.5
2008/12/26	8739.52
2008/12/29	8747.17
2008/12/30	8859.56

