## 左から日付(月と西暦下2桁)、TOPIX、実効為替レート、鉱工業生産指数)
date	topix	exrate	indprod
Jan-75	276.09	29.13	47.33
Feb-75	299.81	29.7	46.86
Mar-75	313.5	29.98	46.24
Apr-75	320.57	29.8	47.33
May-75	329.65	29.79	47.33
Jun-75	327.74	29.6	47.8
Jul-75	323.47	29.94	48.27
Aug-75	309.81	30.29	48.27
Sep-75	299.07	30.34	48.67
Oct-75	308.57	30.01	48.82
Nov-75	315.79	29.99	48.04
Dec-75	315.91	29.83	49.06
Jan-76	337.33	29.91	49.93
Feb-76	336.89	30.25	51.18
Mar-76	341.6	30.68	51.97
Apr-76	334.41	31.02	52.67
May-76	341.17	31.12	52.52
Jun-76	352.54	31.21	53.46
Jul-76	351.37	31.7	53.93
Aug-76	355.16	32.03	54.08
Sep-76	354.88	32.35	54.01
Oct-76	351.59	32	54.01
Nov-76	346.93	31.55	54.79
Dec-76	364.87	31.62	55.02
Jan-77	379.53	31.99	55.49
Feb-77	380.55	32.74	54.71
Mar-77	376.92	33.27	55.49
Apr-77	374.55	33.9	55.18
May-77	378.9	33.55	54.95
Jun-77	376.04	34.11	55.42
Jul-77	375.06	35.05	54.32
Aug-77	380.99	34.95	55.49
Sep-77	387.65	34.97	55.49
Oct-77	380.98	36.43	55.02
Nov-77	367.2	37.74	56.12
Dec-77	362.68	37.84	56.51
Jan-78	374.29	37.49	57.06
Feb-78	384.47	37.52	56.67
Mar-78	397.03	38.82	57.92
Apr-78	410.48	40.63	57.92
May-78	409.68	40.16	58.08
Jun-78	412.07	42.22	58.39
Jul-78	422.56	44.84	58.79
Aug-78	419.87	47.06	59.57
Sep-78	427.97	46.43	60.04
Oct-78	436.1	47.06	60.12
Nov-78	440.34	45.9	60.43
Dec-78	446.92	44.62	60.98
Jan-79	459.51	44.04	60.9
Feb-79	452.7	43.51	60.82
Mar-79	447.78	42.28	61.37
Apr-79	444.66	40.45	61.61
May-79	453.71	40.24	62.94
Jun-79	444.27	39.91	63.17
Jul-79	442.39	39.74	63.64
Aug-79	450.3	39.53	64.59
Sep-79	455.33	38.59	63.41
Oct-79	450.66	37.35	64.74
Nov-79	445.45	35.15	65.53
Dec-79	453.45	35.41	65.29
Jan-80	463.8	35.65	65.76
Feb-80	469.7	34.88	68.19
Mar-80	455.85	35.03	66.39
Apr-80	460.95	34.78	67.56
May-80	466.92	37.56	67.09
Jun-80	467.89	39.1	66.39
Jul-80	469.2	38.41	66.31
Aug-80	473.65	38.12	64.35
Sep-80	483.22	39.8	65.37
Oct-80	494.11	41.22	65.76
Nov-80	494.3	41.13	64.9
Dec-80	489.74	42.27	65.84
Jan-81	505.68	44.09	65.92
Feb-81	505.87	44.46	65.68
Mar-81	515.78	43.84	65.92
Apr-81	546.03	43.04	65.92
May-81	554.96	43.01	64.9
Jun-81	568.67	43.02	66.54
Jul-81	590	42.14	67.09
Aug-81	596.74	42.33	66.86
Sep-81	564.58	42.13	67.96
Oct-81	545.04	41.46	68.35
Nov-81	558.1	42.61	68.35
Dec-81	566.1	43.79	68.11
Jan-82	572.84	43	67.72
Feb-82	570.7	41.67	67.25
Mar-82	536.85	41.05	67.96
Apr-82	534.98	40.66	67.01
May-82	555.72	41.52	66.39
Jun-82	540.55	40.15	67.25
Jul-82	530.85	39.84	67.09
Aug-82	523.53	39.41	67.17
Sep-82	531.75	39.04	67.48
Oct-82	541.43	38.12	65.53
Nov-82	566.04	39.38	67.17
Dec-82	583.09	42.34	66.47
Jan-83	588.77	43.92	67.01
Feb-83	585.86	43.69	66.78
Mar-83	601.16	43.65	67.72
Apr-83	618.29	43.96	67.72
May-83	633.3	44.61	68.03
Jun-83	644.5	44.16	68.74
Jul-83	661.54	44.39	68.5
Aug-83	669.89	44.25	70.07
Sep-83	684.49	44.57	71.01
Oct-83	686.21	46.08	70.7
Nov-83	686.46	46.15	71.4
Dec-83	705.43	46.86	72.34
Jan-84	759.63	47.38	72.89
Feb-84	772.6	46.78	74.69
Mar-84	813.28	47.83	74.07
Apr-84	857	48.31	73.83
May-84	822.35	47.91	75.16
Jun-84	785.77	47.43	75.64
Jul-84	774.56	46.44	75.64
Aug-84	804.81	46.77	76.73
Sep-84	815.76	47.11	75.64
Oct-84	840	47.19	77.83
Nov-84	855.83	47.33	77.83
Dec-84	888.85	47.2	77.36
Jan-85	927.2	46.61	78.14
Feb-85	941.18	46.44	77.91
Mar-85	994.51	46.92	77.28
Apr-85	972.46	46.78	78.53
May-85	983.88	46.94	79.32
Jun-85	1010.86	47.08	78.06
Jul-85	1040.04	47.37	79.24
Aug-85	1011.82	47.56	78.53
Sep-85	1010.72	48.07	77.91
Oct-85	1028.35	51.53	78.69
Nov-85	1006.23	53.98	78.53
Dec-85	1031.64	53.74	78.53
Jan-86	1034.69	54.03	78.38
Feb-86	1066.03	57.57	78.38
Mar-86	1162.99	58.65	78.3
Apr-86	1233.83	59.82	78.3
May-86	1264.45	62.46	78.3
Jun-86	1329.78	62.31	78.53
Jul-86	1394.75	65.29	78.53
Aug-86	1496.38	66.57	76.65
Sep-86	1503.96	66.1	79.24
Oct-86	1414.25	65.29	78.22
Nov-86	1432.65	62.88	77.12
Dec-86	1553.47	62.6	78.93
Jan-87	1648.99	64.08	78.69
Feb-87	1742.31	63.98	78.3
Mar-87	1851.08	64.61	79.48
Apr-87	2050.98	67.97	78.85
May-87	2140.02	68.77	77.59
Jun-87	2171.44	67.4	80.49
Jul-87	1996.17	65.23	81.2
Aug-87	2101.6	66.62	81.2
Sep-87	2085.39	67.86	82.45
Oct-87	2023.68	67.42	83.79
Nov-87	1852.26	69.76	84.1
Dec-87	1828.15	72.42	85.04
Jan-88	1828.36	73.23	85.27
Feb-88	1985.47	73.11	88.01
Mar-88	2109.32	73.59	86.31
Apr-88	2165.74	74.68	88.39
May-88	2167.79	74.99	87.45
Jun-88	2185.63	74.65	87.73
Jul-88	2177.78	72.83	88.11
Aug-88	2195.02	73.24	88.58
Sep-88	2124.77	72.69	90
Oct-88	2123.3	74.84	88.77
Nov-88	2217.24	76.91	90.66
Dec-88	2302.54	76.56	91.32
Jan-89	2437.49	75.58	92.07
Feb-89	2470.84	75.66	91.51
Mar-89	2417.04	74.59	94.81
Apr-89	2463.5	73.71	93.3
May-89	2522.56	71.76	93.39
Jun-89	2475.28	69.72	94.53
Jul-89	2526.71	69.83	92.54
Aug-89	2631.4	70.03	94.15
Sep-89	2626.01	68.55	93.87
Oct-89	2668.29	68.99	93.3
Nov-89	2725.65	67.8	93.96
Dec-89	2859.57	66.56	94.53
Jan-90	2758.91	65.11	93.96
Feb-90	2680.39	64.65	94.43
Mar-90	2401.41	61.93	96.13
Apr-90	2163.47	59.46	96.32
May-90	2365.92	60.95	96.98
Jun-90	2379.77	60.96	97.27
Jul-90	2339.8	61.88	98.12
Aug-90	2024.4	61.44	98.97
Sep-90	1815.28	65.24	98.12
Oct-90	1757.88	69.12	100.1
Nov-90	1736.44	68.9	99.44
Dec-90	1744.42	66.95	99.53
Jan-91	1703.29	66.9	100.19
Feb-91	1873.92	68.07	100.57
Mar-91	1970.93	66.98	99.63
Apr-91	1991.07	68.58	100
May-91	1961.53	68.38	101.04
